Date,Open,High,Low,Close,Adj Close,Volume
2023-01-04,127.38,129.05,125.85,127.37,127.37,32397100
2023-01-05,126.13,128.52,124.54,126.94,126.94,25447100
2023-01-06,128.97,130.33,126.04,130.02,130.02,27584500
2023-01-09,131.16,132.95,129.28,129.47,129.47,26649100
2023-01-10,127.27,133.44,127.15,132.99,132.99,28684400
2023-01-11,130.96,133.85,130.34,132.89,132.89,25423000
2023-01-12,133.44,137.68,131.76,136.71,136.71,30757700
2023-01-13,134.97,137.39,134.84,136.98,136.98,22423800
2023-01-17,136.18,136.75,134.25,135.36,135.36,21147600
2023-01-18,135.81,137.25,132.8,133.02,133.02,20215500
2023-01-19,132.49,137.45,132.14,136.15,136.15,28625200
2023-01-20,135.89,139.94,134.61,139.37,139.37,28688600
2023-01-23,139.29,143.76,138.66,143.27,143.27,27470100
2023-01-24,141.69,145.0,141.36,143.14,143.14,21970200
2023-01-25,141.22,143.17,140.31,141.5,141.5,26622000
2023-01-26,144.4,147.51,143.3,147.3,147.3,25482100
2023-01-27,148.24,153.19,147.39,151.74,151.74,35771900
2023-01-30,149.41,151.12,146.95,147.06,147.06,28040100
2023-01-31,147.95,149.88,147.52,148.97,148.97,29842100
2023-02-01,148.03,153.58,147.06,153.12,153.12,55661000
2023-02-02,183.38,197.16,180.16,188.77,188.77,150475700
2023-02-03,183.47,196.77,182.89,186.53,186.53,76809700
2023-02-06,186.53,190.7,185.52,186.06,186.06,42483800
2023-02-07,185.58,193.78,184.4,191.62,191.62,47080700
2023-02-08,190.0,190.83,182.92,183.43,183.43,36139100
2023-02-09,186.13,186.65,177.27,177.92,177.92,37118800
2023-02-10,176.35,178.89,173.35,174.15,174.15,33433600
2023-02-13,178.22,181.0,175.82,179.43,179.43,31463200
2023-02-14,177.16,181.51,175.88,179.48,179.48,24034600
2023-02-15,176.42,178.19,175.33,177.16,177.16,25308900
2023-02-16,172.75,175.85,171.79,172.44,172.44,25827500
2023-02-17,170.22,173.18,169.7,172.88,172.88,24171300
2023-02-21,174.31,178.17,171.88,172.08,172.08,34592600
2023-02-22,171.07,172.76,169.69,171.12,171.12,22433200
2023-02-23,172.0,173.69,169.38,172.04,172.04,20017800
2023-02-24,168.64,170.72,167.66,170.39,170.39,19791300
2023-02-27,171.88,173.12,169.06,169.54,169.54,19277000
2023-02-28,171.9,177.55,171.87,174.94,174.94,46051100
2023-03-01,174.59,177.85,173.05,173.42,173.42,30998400
2023-03-02,172.38,175.01,171.43,174.53,174.53,17352000
2023-03-03,178.92,186.62,177.05,185.25,185.25,45877700
2023-03-06,188.0,189.66,184.64,184.9,184.9,33209400
2023-03-07,189.0,190.36,184.01,184.51,184.51,36701500
2023-03-08,182.87,185.26,181.34,184.97,184.97,19432400
2023-03-09,186.35,188.93,180.3,181.69,181.69,26582800
2023-03-10,181.01,184.77,178.8,179.51,179.51,25665000
2023-03-13,177.96,183.78,174.82,180.9,180.9,24728000
2023-03-14,187.58,194.32,186.56,194.02,194.02,41642600
2023-03-15,192.95,197.78,190.84,197.75,197.75,42123600
2023-03-16,198.26,205.76,196.09,204.93,204.93,50447100
2023-03-17,200.56,201.9,195.43,195.61,195.61,50141100
2023-03-20,198.48,199.36,193.64,197.81,197.81,25186300
2023-03-21,203.2,203.55,197.95,202.16,202.16,31827000
2023-03-22,202.5,207.37,199.67,199.81,199.81,28477800
2023-03-23,202.84,207.88,202.15,204.28,204.28,27389700
2023-03-24,205.18,207.58,203.55,206.01,206.01,27716400
2023-03-27,204.81,205.86,201.36,202.84,202.84,18527200
2023-03-28,200.15,201.03,197.9,200.68,200.68,19127300
2023-03-29,203.56,205.72,202.54,205.35,205.35,18851100
2023-03-30,203.38,208.09,202.82,207.84,207.84,22608300
2023-03-31,207.24,212.17,206.77,211.94,211.94,25440300
2023-04-03,208.84,213.49,208.2,213.07,213.07,17924600
2023-04-04,213.39,216.24,212.54,214.72,214.72,21026400
2023-04-05,214.15,215.19,209.94,211.48,211.48,19396600
2023-04-06,209.25,216.94,208.65,216.1,216.1,26104400
2023-04-10,214.71,215.66,210.66,214.75,214.75,16106100
2023-04-11,215.48,216.02,213.41,213.85,213.85,16710100
2023-04-12,214.84,216.84,212.58,214.0,214.0,18972200
2023-04-13,215.73,221.15,215.69,220.35,220.35,23310400
